key,press_time,hold_duration,latency,wpm,cpm,pauses,error_rate,session_type
Key.tab,1759570267.9303014,0.1915485858917236,0.1116793155670166,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
Key.tab,1759570271.0099125,0.176116943359375,3.0641791820526123,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
Key.tab,1759570272.1864395,0.1759188175201416,1.1763291358947754,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
Key.tab,1759570272.618652,0.1833574771881103,0.4396512508392334,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
Key.alt_l,1759570270.9898229,1.8205387592315676,0.0083520412445068,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
T,1759570284.21812,0.0800685882568359,11.487826824188232,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
Key.shift,1759570283.8580723,0.5038435459136963,0.0637273788452148,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
h,1759570284.7300284,0.1442034244537353,0.5123159885406494,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
e,1759570284.8828645,0.1113319396972656,0.119964599609375,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
Key.space,1759570285.234054,0.1519641876220703,0.3918218612670898,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
Key.shift,1759570286.1703358,0.1044702529907226,0.8887877464294434,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
e,1759570286.6580012,0.0882556438446044,0.4241132736206054,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
t,1759570286.898365,0.0635342597961425,0.2156424522399902,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
a,1759570287.1222186,0.1519949436187744,0.3123142719268799,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
l,1759570287.3062174,0.0719997882843017,0.1040036678314209,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
Key.space,1759570287.5943372,0.0886225700378418,0.3047425746917724,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
Key.shift,1759570287.8026717,0.4152758121490478,0.5349876880645752,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
e,1759570288.378487,0.1353440284729004,0.2317249774932861,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
a,1759570288.5226867,0.1750900745391845,0.1839456558227539,32.45466700536996,162.2733350268498,180,2.6378896882494005,relaxed
